LR.Index	CellCall	CellChat	CellPhoneDB	CytoTalk	ICELLNET	iTALK	NATMI	scMLnet	SinglecellsignalR	celltalkdb
ADAM2_ITGA9	0	0	0	1	0	1	1	1	1	1
ADAM2_ITGB1	0	0	0	1	0	1	1	1	1	1
ADAM2_ITGB7	0	0	0	1	0	1	1	1	1	1
ADAM7_ITGA4	0	0	0	0	0	0	1	0	0	0
ADAM7_ITGB7	0	0	0	0	0	0	1	0	0	0
ADAM9_ITGA1	0	0	0	0	1	0	0	0	0	0
ADAM9_ITGA3	0	0	0	1	1	1	1	1	1	1
ADAM9_ITGA6	0	0	0	1	1	1	1	1	1	1
ADAM9_ITGAV	0	0	0	1	1	1	1	1	1	1
ADAM9_ITGB1	0	0	0	1	1	1	1	1	1	1
ADAM9_ITGB5	0	0	0	1	1	1	1	1	1	1
ADAMTS3_CCBE1	0	0	0	0	0	0	0	0	0	1
ADA_DPP4	0	0	0	0	0	0	0	0	1	1
ADCYAP1_ADCYAP1R1	1	1	0	1	0	1	1	1	1	1
ADCYAP1_ADRB2	0	0	0	0	0	0	0	0	1	1
ADCYAP1_ADRB3	0	0	0	0	0	0	0	0	1	1
ADCYAP1_DPP4	0	0	0	0	0	0	0	0	0	1
ADCYAP1_GPR20	0	0	0	0	0	0	0	0	1	1
ADCYAP1_GPR84	0	0	0	0	0	0	0	0	1	1
ADCYAP1_PTH1R	0	0	0	0	0	0	0	0	1	1
ADCYAP1_RAMP2	0	0	0	0	0	0	0	0	1	1
ADCYAP1_RAMP3	0	0	0	0	0	0	0	0	1	1
ADCYAP1_SCTR	0	0	0	1	0	1	1	1	1	1
ADCYAP1_TSHR	1	0	0	0	0	0	0	0	1	1
ADCYAP1_VIPR1	0	0	0	1	0	1	1	1	1	1
ADCYAP1_VIPR2	1	0	0	1	0	1	1	1	1	1
ADGRB1_RTN4R	0	0	0	0	0	0	1	0	0	0
ADGRB1_RTN4RL1	0	0	0	0	0	0	1	0	0	0
ADGRB1_RTN4RL2	0	0	0	0	0	0	1	0	0	0
ADGRE5_CD55	0	1	0	0	0	0	1	0	0	0
ADIPOQ_ADIPOR1	1	1	0	1	0	1	1	1	1	1
ADIPOQ_ADIPOR2	1	1	0	1	0	1	1	1	1	1
ADIPOQ_CNR2	0	0	0	0	0	0	0	0	0	1
ADIPOQ_GPR42	0	0	0	0	0	0	0	0	0	1
ADM2_ADCYAP1R1	0	0	0	0	0	0	0	0	1	1
ADM2_ADRB2	0	0	0	0	0	0	0	0	1	1
ADM2_ADRB3	0	0	0	0	0	0	0	0	1	1
ADM2_CALCR	0	0	1	1	0	1	1	1	1	1
ADM2_CALCRL	0	0	0	1	0	1	1	1	1	1
ADM2_GPR20	0	0	0	0	0	0	0	0	1	1
ADM2_GPR84	0	0	0	0	0	0	0	0	1	1
ADM2_PTH1R	0	0	0	0	0	0	0	0	1	1
ADM2_RAMP1	0	0	0	1	0	1	1	1	1	1
ADM2_RAMP2	0	0	0	0	0	0	1	0	1	1
ADM2_RAMP3	0	0	0	0	0	0	1	0	1	1
ADM2_TSHR	0	0	0	0	0	0	0	0	1	1
ADM2_VIPR1	0	0	0	0	0	0	0	0	1	1
ADM_ADCYAP1R1	0	0	0	0	0	0	0	0	1	1
ADM_ADRB2	0	0	0	0	0	0	0	0	1	1
ADM_ADRB3	0	0	0	0	0	0	0	0	1	1
ADM_CALCR	0	1	0	1	0	1	1	1	1	1
ADM_CALCRL	0	1	0	1	0	1	1	1	1	1
ADM_GPR182	0	0	0	1	0	1	0	1	1	1
ADM_GPR20	0	0	0	0	0	0	0	0	1	1
ADM_GPR84	0	0	0	0	0	0	0	0	1	1
ADM_MRGPRX2	0	0	0	1	0	1	1	1	1	0
ADM_PTH1R	0	0	0	0	0	0	0	0	1	1
ADM_RAMP1	0	0	0	0	0	0	0	0	0	1
ADM_RAMP2	0	0	0	1	0	1	1	1	1	1
ADM_RAMP3	0	0	0	0	0	0	1	0	1	1
ADM_TSHR	0	0	0	0	0	0	0	0	1	1
ADM_VIPR1	0	0	0	0	0	0	0	0	1	1
AFD1_EPHA7	0	0	0	0	0	0	1	0	0	0
AFD1_EPHB2	0	0	0	0	0	0	1	0	0	0
AFD1_EPHB3	0	0	0	0	0	0	1	0	0	0
AFD1_EPHB6	0	0	0	0	0	0	1	0	0	0
AFD1_F11R	0	0	0	0	0	0	1	0	0	0
AFD1_NECTIN1	0	0	0	0	0	0	1	0	0	0
AFD1_NECTIN2	0	0	0	0	0	0	1	0	0	0
AFD1_NECTIN3	0	0	0	0	0	0	1	0	0	0
AFD1_NECTIN4	0	0	0	0	0	0	1	0	0	0
AFDN_EPHA7	0	0	0	1	0	1	0	1	1	1
AFDN_EPHB2	0	0	0	1	0	1	0	1	1	1
AFDN_EPHB3	0	0	0	1	0	1	0	1	1	1
AFDN_EPHB6	0	0	0	1	0	1	0	1	1	1
AFDN_F11R	0	0	0	1	0	1	0	1	1	1
AFDN_NECTIN1	0	0	0	1	0	1	0	1	1	1
AFDN_NECTIN2	0	0	0	1	0	1	0	1	1	1
AFDN_NECTIN3	0	0	0	1	0	1	0	1	1	1
AFDN_NECTIN4	0	0	0	1	0	1	0	1	1	1
AFDN_NRXN2	0	0	0	1	0	1	0	1	1	1
AFDN_NRXN3	0	0	0	1	0	1	0	1	1	1
AGRN_ATP1A3	0	0	0	1	0	1	1	1	1	1
AGRN_DAG1	0	1	0	0	0	0	1	0	0	0
AGRN_ITGB1	0	0	0	0	0	0	0	0	1	1
AGRN_LRP1	0	0	0	0	0	0	0	0	1	1
AGRN_LRP2	0	0	0	0	0	0	0	0	1	1
AGRN_LRP4	0	0	0	1	0	1	1	1	1	1
AGRN_MUSK	0	0	0	1	0	1	1	1	1	1
AGRP_MC3R	0	0	1	1	0	1	1	1	1	1
AGRP_MC4R	0	0	1	1	0	1	1	1	1	1
AGRP_MC5R	0	0	1	1	0	1	1	1	1	1
AGRP_SDC3	0	0	0	1	0	1	1	1	1	1
AGTRAP_RACK1	0	0	0	0	0	0	0	0	0	1
AGT_ADRA2A	0	0	0	0	0	0	0	0	1	1
AGT_AGTR1	1	1	0	1	1	1	1	1	1	1
AGT_AGTR2	0	0	0	1	1	1	1	1	1	1
AGT_ENPEP	0	0	0	0	0	0	0	0	1	1
AGT_GRM7	0	0	0	0	0	0	0	0	1	1
AGT_LRP2	0	0	0	1	0	1	1	1	1	1
AGT_MAS1	0	1	0	1	0	1	1	1	1	1
AGT_MTNR1A	0	0	0	0	0	0	0	0	1	1
AHSG_INSR	0	0	0	1	0	1	1	1	1	1
AIMP1_NTRK1	0	0	1	0	0	0	0	0	0	0
ALB_LRP2	0	0	0	1	0	1	1	1	1	1
ALCAM_CD6	0	1	0	0	0	0	1	0	0	0
ALCAM_DDX11	0	0	0	0	0	0	1	0	0	0
ALCAM_L1CAM	0	0	0	0	0	0	1	0	0	0
ALCAM_NELL1	0	0	0	0	0	0	1	0	0	0
ALKAL1_ALK	0	0	0	0	0	0	1	0	0	1
ALKAL1_LTK	0	0	0	0	0	0	1	0	0	0
ALKAL2_ALK	0	0	0	0	0	0	1	0	0	1
ALKAL2_LTK	0	0	0	0	0	0	1	0	0	0
ALOX5AP_ALOX5	0	0	0	0	0	1	0	1	1	1
AMBN_CD63	0	0	0	0	0	0	1	0	0	0
AMELX_CD63	0	0	0	0	0	0	1	0	0	0
AMELX_LAMP1	0	0	0	1	0	1	1	1	1	1
AMELX_LAMP2	0	0	0	0	0	0	1	0	0	0
AMELY_CD63	0	0	0	0	0	0	1	0	0	0
AMELY_LAMP1	0	0	0	1	0	1	1	1	1	0
AMELY_LAMP2	0	0	0	0	0	0	1	0	0	0
AMH_ACKR3	0	1	0	0	0	0	0	0	0	0
AMH_ACVR1	0	1	1	1	1	1	1	1	1	1
AMH_AMHR2	0	1	1	1	1	1	1	1	1	1
AMH_BMPR1A	0	1	0	0	1	0	0	0	0	0
AMH_BMPR1B	1	0	0	0	0	0	0	0	0	0
AMH_CD44	0	1	0	0	0	0	0	0	0	0
AMH_CD74	0	1	0	0	1	0	1	0	0	0
AMH_CXCR2	0	1	0	0	1	0	1	0	0	0
AMH_CXCR4	0	1	0	0	1	0	1	0	0	0
AMH_EGFR	0	0	1	1	0	1	1	1	1	1
AMH_GNB1	0	0	1	0	0	0	0	0	0	0
AMH_XK	0	0	1	0	0	0	0	0	0	0
ANGPT1_ITGA5	0	0	0	1	0	1	1	1	1	1
ANGPT1_ITGB1	0	0	0	0	0	1	1	1	1	1
ANGPT1_TEK	1	1	0	1	1	1	1	1	1	1
ANGPT1_TIE1	0	0	0	1	0	1	1	1	1	1
ANGPT2_ITGA5	0	1	0	0	0	0	0	0	0	0
ANGPT2_ITGB1	0	1	0	0	0	0	0	0	0	0
ANGPT2_TEK	1	1	0	1	1	1	1	1	1	1
ANGPT2_TIE1	0	0	0	0	0	1	1	1	1	1
ANGPT4_TEK	1	0	0	1	1	1	1	1	1	1
ANGPT4_TIE1	0	0	0	0	0	1	0	1	1	1
ANGPTL1_ITGA1	0	1	0	0	0	0	0	0	0	0
ANGPTL1_ITGB1	0	1	0	0	0	0	0	0	0	0
ANGPTL1_LILRB3	0	1	0	0	0	0	0	0	0	0
ANGPTL1_TEK	0	0	0	1	0	1	1	1	1	1
ANGPTL2_ITGA5	0	1	0	0	0	0	1	0	0	0
ANGPTL2_ITGB1	0	1	0	0	0	0	1	0	0	0
ANGPTL2_LILRB2	0	0	0	0	0	0	1	0	0	1
ANGPTL2_LILRB3	0	1	0	0	0	0	0	0	0	0
ANGPTL2_TIE1	0	0	0	0	0	1	0	1	1	1
ANGPTL2_TLR4	0	1	0	0	0	0	0	0	0	0
ANGPTL3_ITGA5	0	0	0	1	0	1	1	1	1	1
ANGPTL3_ITGAV	0	1	0	1	0	1	1	1	1	1
ANGPTL3_ITGB3	0	1	0	1	0	1	1	1	1	1
ANGPTL4_CDH11	0	1	0	0	0	0	0	0	0	0
ANGPTL4_CDH5	0	1	0	0	0	0	0	0	0	0
ANGPTL4_GPIHBP1	0	0	0	0	0	0	0	0	0	1
ANGPTL4_ITGA5	0	1	0	0	0	0	0	0	0	0
ANGPTL4_ITGAV	0	1	0	0	0	0	0	0	0	0
ANGPTL4_ITGB1	0	1	0	0	0	0	0	0	0	0
ANGPTL4_ITGB3	0	1	0	0	0	0	0	0	0	0
ANGPTL4_SDC1	0	1	0	0	0	0	0	0	0	0
ANGPTL4_SDC2	0	1	0	0	0	0	0	0	0	0
ANGPTL4_SDC3	0	1	0	0	0	0	0	0	0	0
ANGPTL4_SDC4	0	1	0	0	0	0	0	0	0	0
ANGPTL4_TIE1	0	0	0	0	0	1	0	1	1	1
ANGPTL7_LILRB3	0	1	0	0	0	0	0	0	0	0
ANG_EGFR	0	0	0	0	1	0	0	0	0	1
ANG_PLXNB2	0	0	0	0	1	0	1	0	0	0
ANOS1_FGFR1	0	0	0	1	0	1	1	1	1	1
ANOS1_SDC2	0	0	0	1	0	1	1	1	1	1
ANPEP_SELE	0	0	0	0	0	0	1	0	0	0
ANXA1_ADRA2A	0	0	0	0	0	0	0	0	1	1
ANXA1_DYSF	0	0	0	1	0	1	1	1	1	1
ANXA1_EGFR	0	0	0	1	0	1	1	1	1	1
ANXA1_FPR1	0	1	1	1	0	1	1	1	1	1
ANXA1_FPR2	0	1	1	1	0	1	1	1	1	1
ANXA1_FPR3	0	1	1	1	0	1	1	1	1	1
ANXA1_GRM7	0	0	0	0	0	0	0	0	1	1
ANXA1_MTNR1A	0	0	0	0	0	0	0	0	1	1
ANXA2_ROBO4	0	0	0	0	0	0	1	0	0	0
ANXA2_TLR2	0	0	0	0	0	0	1	0	0	0
APCS_GPR37	0	0	1	0	0	0	0	0	0	0
APCS_XK	0	0	1	0	0	0	0	0	0	0
APELA_APLNR	0	1	1	0	1	0	1	0	0	1
APLN_ADRA2A	0	0	0	0	0	0	0	0	1	1
APLN_APLNR	0	1	1	1	1	1	1	1	1	1
APLN_GRM7	0	0	0	0	0	0	0	0	1	1
APLN_MTNR1A	0	0	0	0	0	0	0	0	1	1
APOA1_ABCA1	0	0	0	0	0	0	0	0	0	1
APOA1_LDLR	0	0	0	0	0	0	0	0	1	1
APOA1_LRP1	0	0	0	0	0	0	0	0	1	1
APOA1_LRP2	0	0	0	0	0	0	0	0	1	1
APOA2_LDLR	0	0	0	0	0	0	0	0	1	1
APOA2_LRP1	0	0	0	0	0	0	0	0	1	1
APOA2_LRP2	0	0	0	0	0	0	0	0	1	1
APOA4_LDLR	0	0	0	0	0	0	0	0	1	1
APOA4_LRP1	0	0	0	0	0	0	0	0	1	1
APOA4_LRP2	0	0	0	0	0	0	0	0	1	1
APOB_ADRB2	0	0	0	0	0	0	0	0	1	1
APOB_CALCR	0	0	0	0	0	1	0	1	1	1
APOB_ENO1	0	0	0	0	1	0	1	0	0	0
APOB_ITGAM	0	0	0	0	0	1	0	1	1	1
APOB_ITGB2	0	0	0	0	0	1	0	1	1	1
APOB_LDLR	0	0	0	1	1	1	1	1	1	1
APOB_LRP1	0	0	0	0	0	0	0	0	1	1
APOB_LRP2	0	0	0	1	1	1	1	1	1	1
APOB_LRP6	0	0	0	0	0	1	0	1	1	1
APOB_LRP8	0	0	0	0	0	1	0	1	1	1
APOB_LSR	0	0	0	1	1	1	1	1	1	1
APOB_MTTP	0	0	0	0	0	0	0	0	1	1
APOB_OLR1	0	0	0	1	0	1	1	1	1	1
APOB_TLR4	0	0	0	0	0	0	0	0	1	1
APOB_TLR6	0	0	0	0	0	0	0	0	1	1
APOB_VLDLR	0	0	0	0	0	0	0	0	1	1
APOC1_VLDLR	0	0	0	0	0	0	0	0	1	1
APOC2_LDLR	0	0	0	0	0	0	0	0	1	1
APOC2_LRP1	0	0	0	0	0	0	0	0	1	1
APOC2_LRP2	0	0	0	0	0	0	0	0	1	1
APOC3_LDLR	0	0	0	0	0	0	0	0	1	1
APOC3_LRP1	0	0	0	0	0	0	0	0	1	1
APOC3_LRP2	0	0	0	0	0	0	0	0	1	1
APOC3_SDC2	0	0	0	0	0	1	0	1	1	1
APOC3_TLR2	0	0	0	0	0	1	0	1	1	1
APOC4_VLDLR	0	0	0	0	0	0	0	0	1	1
APOD_LEPR	0	0	0	1	0	1	1	1	1	1
APOE_ABCA1	0	0	0	0	0	0	0	0	0	1
APOE_CHRNA4	0	0	0	0	0	1	0	1	1	1
APOE_LDLR	0	0	0	1	1	1	1	1	1	1
APOE_LRP1	0	0	0	1	0	1	1	1	1	1
APOE_LRP2	0	0	0	1	0	1	1	1	1	1
APOE_LRP4	0	0	0	0	0	0	0	0	0	1
APOE_LRP5	0	0	0	1	0	1	1	1	1	1
APOE_LRP6	0	0	0	0	0	0	0	0	0	1
APOE_LRP8	0	0	0	1	0	1	1	1	1	1
APOE_LSR	0	0	0	0	1	0	0	0	0	1
APOE_SCARB1	0	0	0	1	1	1	1	1	1	1
APOE_SDC2	0	0	0	0	0	0	0	0	0	1
APOE_SORL1	0	0	0	1	0	1	1	1	1	1
APOE_TREM2	0	0	0	0	0	0	0	0	0	1
APOE_VLDLR	0	0	0	1	0	1	1	1	1	1
APP_ADRA2A	0	0	0	0	0	0	0	0	1	1
APP_AGER	0	0	0	0	0	0	0	0	0	1
APP_APLP1	0	0	0	0	0	0	0	0	0	1
APP_APLP2	0	0	0	0	0	0	0	0	0	1
APP_CAV1	0	0	0	1	0	1	1	1	1	1
APP_CD74	0	1	0	1	0	1	1	1	1	1
APP_DCC	0	0	0	0	0	0	0	0	0	1
APP_FPR2	0	0	0	1	0	1	1	1	1	1
APP_GPC1	0	0	0	1	0	1	1	1	1	1
APP_GRM7	0	0	0	0	0	0	0	0	1	1
APP_LRP1	0	0	0	1	0	1	1	1	1	1
APP_LRP10	0	0	0	0	0	0	0	0	0	1
APP_LRP6	0	0	0	0	0	0	0	0	0	1
APP_MTNR1A	0	0	0	0	0	0	0	0	1	1
APP_NCSTN	0	0	0	1	0	1	1	1	1	1
APP_NGFR	0	0	0	0	0	1	0	1	1	1
APP_NOTCH2	0	0	0	0	0	0	0	0	0	1
APP_PLD1	0	0	0	0	0	0	0	0	0	1
APP_PTGER2	0	0	0	0	0	0	0	0	0	1
APP_RPSA	0	0	0	0	0	0	0	0	0	1
APP_SLC45A3	0	0	0	0	0	1	0	1	1	0
APP_SORL1	0	0	0	0	0	0	0	0	0	1
APP_TNFRSF21	0	0	0	1	0	1	1	1	1	1
APP_TSPAN12	0	0	0	0	0	0	0	0	0	1
APP_TSPAN15	0	0	0	0	0	0	0	0	0	1
APP_VLDLR	0	0	0	0	0	0	0	0	0	1
AREG_EGFR	1	1	1	1	1	1	1	1	1	1
AREG_ERBB2	0	1	0	0	0	0	0	0	0	0
AREG_ERBB3	1	0	0	1	0	1	1	1	1	1
AREG_ICAM1	0	0	1	0	0	0	0	0	0	0
ARF1_CHRM3	0	0	0	1	0	1	1	1	1	1
ARF1_INSR	0	0	0	1	0	1	1	1	1	1
ARF1_PLD2	0	0	0	1	0	1	1	1	1	1
ARF4_EGFR	0	0	0	0	0	0	0	0	0	1
ARF6_PLD1	0	0	0	0	0	0	0	0	0	1
ARF6_SMAP1	0	0	0	0	0	0	0	0	0	1
ARPC5_ADRB2	0	0	0	0	0	0	0	0	1	1
ARPC5_LDLR	0	0	0	0	0	0	0	0	1	1
ARPC5_LRP2	0	0	0	0	0	0	0	0	1	1
ARTN_GFRA1	0	1	1	1	1	1	1	1	1	1
ARTN_GFRA2	0	0	0	0	0	0	0	0	1	1
ARTN_GFRA3	0	1	1	1	1	1	1	1	1	1
ARTN_RET	0	1	1	1	1	1	1	1	1	1
ASIP_ATRN	0	0	0	1	0	1	1	1	1	1
ASIP_F11R	0	0	0	1	0	1	1	1	1	1
ASIP_MC1R	0	0	0	1	0	1	1	1	1	1
ASIP_MC2R	0	0	0	1	0	1	1	1	1	1
ASIP_MC3R	0	0	0	1	0	1	1	1	1	1
ASIP_MC4R	0	0	0	1	0	1	1	1	1	1
ASIP_MC5R	0	0	0	1	0	1	1	1	1	1
ASIP_MGRN1	0	0	0	0	0	1	0	1	1	1
ATP7A_ALK	0	0	1	0	0	0	0	0	0	0
ATP7A_LRP1	0	0	1	0	0	0	0	0	0	0
ATP7A_XK	0	0	1	0	0	0	0	0	0	0
AVP_ADCYAP1R1	0	0	0	0	0	0	0	0	1	1
AVP_ADRB2	0	0	0	0	0	0	0	0	1	1
AVP_ADRB3	0	0	0	0	0	0	0	0	1	1
AVP_AVPR1A	0	1	0	1	0	1	1	1	1	1
AVP_AVPR1B	0	1	0	1	0	1	1	1	1	1
AVP_AVPR2	1	1	0	1	0	1	1	1	1	1
AVP_GPR20	0	0	0	0	0	0	0	0	1	1
AVP_GPR84	0	0	0	0	0	0	0	0	1	1
AVP_LDLR	0	0	0	0	0	0	0	0	1	1
AVP_LRP2	0	0	0	0	0	0	0	0	1	1
AVP_OXTR	0	0	0	1	0	1	1	1	1	1
AVP_PTH1R	0	0	0	0	0	0	0	0	1	1
AVP_RAMP2	0	0	0	0	0	0	0	0	1	1
AVP_RAMP3	0	0	0	0	0	0	0	0	1	1
AVP_TSHR	0	0	0	0	0	0	0	0	1	1
AVP_VIPR1	0	0	0	0	0	0	0	0	1	1
AZGP1_ITGAV	0	0	0	1	0	1	1	1	1	1
B2M_CD1A	0	0	0	1	0	1	1	1	1	1
B2M_CD1B	0	0	0	1	0	1	1	1	1	1
B2M_CD247	0	0	0	0	0	1	0	1	1	1
B2M_CD3D	0	0	0	0	0	1	0	1	1	1
B2M_CD3G	0	0	0	0	0	1	0	1	1	1
B2M_HFE	0	0	0	1	0	1	0	1	1	1
B2M_HLA-F	0	0	0	1	0	1	1	1	1	1
B2M_KIR2DL1	0	0	0	0	0	1	0	1	1	1
B2M_KIR2DL3	0	0	0	0	0	0	0	0	0	1
B2M_KIR3DL1	0	0	0	0	0	1	0	1	1	1
B2M_KLRC1	0	0	0	0	0	1	0	1	1	1
B2M_KLRC2	0	0	0	0	0	0	0	0	1	1
B2M_KLRD1	0	0	0	0	0	1	0	1	1	1
B2M_LILRB1	0	0	0	1	0	1	1	1	1	1
B2M_LILRB2	0	0	0	0	0	1	0	1	1	1
B2M_TFRC	0	0	0	0	0	1	0	1	1	1
BAG6_XK	0	0	1	0	0	0	0	0	0	0
BAG6_NCR3	0	1	0	0	0	0	1	0	0	0
BCAN_EGFR	0	0	0	0	0	1	0	1	1	1
BCAN_NRCAM	0	0	0	0	0	1	0	1	1	1
BDNF_BEX3	0	0	0	1	0	1	0	1	1	1
BDNF_DDR1	0	0	0	0	0	1	0	1	1	0
BDNF_DRD4	0	0	0	0	0	1	0	1	1	1
BDNF_ERBB2	1	0	0	0	0	0	0	0	0	0
BDNF_F11R	0	0	1	0	0	0	0	0	0	0
BDNF_XK	0	0	1	0	0	0	0	0	0	0
BDNF_NCAM1	0	0	1	0	0	0	0	0	0	0
BDNF_NGFR	1	0	0	1	0	1	1	1	1	1
BDNF_NTRK2	1	1	1	1	0	1	1	1	1	1
BDNF_SORT1	0	0	0	1	0	1	1	1	1	1
BGN_FGFR3	0	0	0	0	0	0	1	0	0	0
BGN_LY96	0	0	0	0	0	1	0	1	1	1
BGN_TLR1	0	0	0	0	0	1	0	1	1	1
BGN_TLR2	0	0	0	1	0	1	1	1	1	1
BGN_TLR4	0	0	0	1	0	1	1	1	1	1
BMP10_ACVR1	0	0	0	0	0	1	0	1	0	0
BMP10_ACVR2A	0	1	0	1	1	1	1	1	1	1
BMP10_ACVR2B	0	0	0	0	1	1	0	1	0	0
BMP10_ACVRL1	0	1	0	1	1	1	1	1	1	1
BMP10_BMPR1A	0	0	0	1	0	1	1	1	1	1
BMP10_BMPR1B	0	0	0	1	0	1	1	1	1	1
BMP10_BMPR2	0	1	1	1	1	1	1	1	1	1
BMP10_ENG	0	0	0	1	0	1	1	1	1	1
BMP10_FFAR2	0	0	1	0	0	0	0	0	0	0
BMP10_XK	0	0	1	0	0	0	0	0	0	0
BMP10_VSIR	0	0	1	0	0	0	0	0	0	0
BMP15_ACVR1	0	0	0	0	0	1	0	1	0	0
BMP15_ACVR2A	0	0	0	1	0	1	1	1	0	1
BMP15_ACVR2B	0	0	0	0	0	1	0	1	0	0
BMP15_BMPR1A	0	0	0	1	0	1	1	1	1	1
BMP15_BMPR1B	0	1	0	1	1	1	1	1	1	1
BMP15_BMPR2	0	1	1	1	1	1	1	1	1	1
BMP15_XK	0	0	1	0	0	0	0	0	0	0
BMP1_BMPR1A	0	0	0	0	0	0	0	0	0	1
BMP1_BMPR1B	0	0	0	0	0	0	0	0	0	1
BMP1_BMPR2	0	0	0	0	0	0	0	0	0	1
BMP2_ACVR1	1	0	0	1	0	1	0	1	1	1
BMP2_ACVR2A	0	1	0	1	1	1	1	1	0	1
BMP2_ACVR2B	0	1	0	1	1	1	1	1	1	1
BMP2_BMPR1A	1	1	0	1	1	1	1	1	1	1
BMP2_BMPR1B	1	1	0	1	1	1	1	1	1	1
BMP2_BMPR2	1	1	1	1	1	1	1	1	1	1
BMP2_ENG	0	0	0	1	0	1	1	1	1	1
BMP2_GPC1	0	0	0	0	0	0	0	0	0	1
BMP2_HJV	0	0	0	1	0	1	1	1	1	1
BMP2_XK	0	0	1	0	0	0	0	0	0	0
BMP2_RGMB	0	0	0	0	0	0	1	0	0	0
BMP2_SMO	0	0	1	0	0	0	0	0	0	1
BMP3_ACVR1	0	0	0	0	0	1	0	1	0	0
BMP3_ACVR2A	0	0	0	0	0	1	0	1	0	0
BMP3_ACVR2B	0	0	0	1	0	1	1	1	0	1
BMP3_BMPR1A	0	0	0	0	0	1	0	1	0	1
BMP3_BMPR1B	0	0	0	0	0	1	0	1	0	1
BMP3_BMPR2	0	0	0	0	0	1	0	1	0	1
BMP3_XK	0	0	1	0	0	0	0	0	0	0
BMP4_ACVR1	0	0	0	0	0	1	0	1	0	0
BMP4_ACVR2A	0	1	0	0	1	1	0	1	0	0
BMP4_ACVR2B	0	1	0	0	1	1	0	1	0	0
BMP4_BMPR1A	1	1	0	1	1	1	1	1	1	1
BMP4_BMPR1B	1	1	0	1	1	1	1	1	1	1
BMP4_BMPR2	1	1	1	1	1	1	1	1	1	1
BMP4_CFC1	0	0	0	0	0	0	1	0	0	0
BMP4_HJV	0	0	0	0	0	1	0	1	1	1
BMP4_LRP6	0	0	0	0	0	0	0	0	0	1
BMP4_XK	0	0	1	0	0	0	0	0	0	0
